vogel,soort,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aalscholver,trekvogel,1.39,4.43,3.26,2.35,2.11,1.82,1.58,2.32,2.07,1.65,1.78
Appelvink,beide,2.74,3.30,2.90,2.33,1.96,1.86,1.78,1.52,1.69,1.64,1.48
Blauwe Reiger,trekvogel,1.29,1.36,1.49,1.34,1.20,1.23,1.17,1.21,1.16,1.17,1.24
Boomklever,standvogel,2.58,2.28,2.04,1.77,1.57,1.54,1.53,1.48,1.48,1.49,1.54
Boomkruiper,standvogel,1.62,1.36,1.44,1.36,1.29,1.29,1.33,1.26,1.25,1.25,1.27
Buizerd,standvogel,1.38,1.37,1.53,1.34,1.28,1.28,1.33,1.20,1.28,1.36,1.35
Ekster,standvogel,2.50,2.42,2.43,2.18,2.02,2.08,2.12,1.89,1.92,1.88,1.92
Fazant,standvogel,2.34,2.51,2.84,2.22,2.49,2.49,2.52,2.21,2.05,2.24,2.11
Fuut,trekvogel,1.65,2.22,2.35,2.08,2.66,1.88,1.77,2.29,1.97,2.03,1.82
Gaai,standvogel,1.76,1.74,1.78,1.63,1.55,1.63,1.55,1.51,1.52,1.48,1.45
Glanskop,standvogel,2.94,3.37,2.75,2.17,1.81,1.81,1.81,1.76,1.69,1.63,1.77
Goudhaantje,standvogel,2.06,1.74,1.60,1.40,1.52,1.40,1.76,1.51,1.38,1.51,1.38
Goudvink,standvogel,2.82,2.23,2.73,2.35,1.92,1.99,1.98,1.80,1.98,1.89,1.81
Grauwe Gans,beide,26.67,36.85,40.34,25.56,21.20,21.80,19.01,58.69,31.18,26.62,23.87
Groene Specht,standvogel,1.12,1.15,1.18,1.11,1.06,1.10,1.10,1.08,1.09,1.10,1.08
Groenling,beide,3.67,3.78,4.27,3.51,3.29,3.40,3.56,3.30,3.11,3.15,3.17
Grote Bonte Specht,standvogel,1.80,1.25,1.27,1.29,1.20,1.21,1.22,1.21,1.21,1.20,1.20
Grote Lijster,beide,2.03,1.97,1.94,1.74,1.54,1.33,1.56,1.37,1.52,1.25,1.33
Grote Mantelmeeuw,standvogel,4.91,6.96,6.19,6.33,5.94,5.32,4.96,5.22,4.13,3.52,4.06
Grote Zilverreiger,standvogel,1.00,1.34,1.72,1.70,1.14,1.21,1.17,1.31,1.16,1.44,1.44
Halsbandparkiet,standvogel,4.31,3.61,4.14,3.43,3.40,3.22,3.64,3.07,3.24,3.18,3.05
Havik,standvogel,1.43,1.36,1.71,1.67,1.06,1.03,1.04,1.05,1.05,1.02,1.09
Heggemus,standvogel,3.07,2.81,2.84,2.47,1.91,1.83,1.74,1.74,1.63,1.64,1.65
Houtduif,standvogel,3.98,3.89,3.85,3.23,2.89,0.06,2.57,0.09,0.06,2.25,2.20
Huismus,standvogel,11.41,12.52,11.18,8.56,8.95,9.20,9.88,8.29,8.02,7.85,7.54
