vogel,telling05,telling06,telling08,telling09,telling10,telling11,telling12,telling13,telling14,telling15,telling16
Aalscholver,3,1218,1169,1064,628,337,311,237,290,265,640
Appelvink,526,670,888,1438,434,342,169,671,206,350,390
Blauwe Reiger,583,718,926,1748,1042,556,584,571,490,576,842
Boomklever,1854,1784,2149,4781,4446,4607,2821,8004,3716,4532,5042
Boomkruiper,437,534,962,1953,3018,2168,1524,2571,1969,2307,2526
Buizerd,270,353,723,1462,971,616,603,917,507,443,811
Ekster,10169,12276,18176,24824,32767,25730,27443,41998,30933,34436,35125
Fazant,330,606,1198,1725,2482,1755,1535,2102,1021,1218,988
Fuut,51,193,284,344,117,137,136,64,185,191,233
Gaai,2868,3052,4478,8563,13774,11062,7378,19935,9157,15272,10235
Glanskop,627,526,663,1156,776,805,392,937,532,755,943
Goudhaantje,327,279,524,539,340,214,95,288,121,362,400
Goudvink,824,551,1128,2231,1108,693,464,1644,562,995,728
Grauwe Gans,1600,4127,4639,4728,2798,2659,1597,3404,2557,2050,3031
Groene Specht,154,180,384,610,474,361,311,390,356,386,398
Groenling,6527,8219,17021,21931,29604,25165,18939,34107,17521,20754,18825
Grote Bonte Specht,1628,986,1715,4204,5021,4442,3470,9769,4736,5786,6908
Grote Lijster,552,460,758,1494,283,144,86,251,64,74,61
Grote Mantelmeeuw,172,327,464,1190,653,410,268,647,231,215,357
Grote Zilverreiger,1,99,167,491,233,137,125,135,119,101,186
Halsbandparkiet,181,1214,1921,2486,3735,3456,4339,4283,5060,5266,5746
Havik,33,45,84,102,68,34,54,64,42,43,47
Heggemus,9616,11138,15647,22446,29983,21886,17273,33237,19873,26141,24772
Houtduif,9509,14482,23857,35514,44319,740,28546,1969,874,41212,33405
Huismus,56346,79824,96898,113227,190587,145368,145799,215080,161617,177187,164087
IJsvogel,103,71,191,353,118,46,94,69,69,251,339
Kauw,16559,29906,39313,48161,54069,46782,51482,67207,55437,56047,58603
Keep,245,450,1395,2296,2388,6608,264,3812,467,532,1757
Kleine Bonte Specht,192,243,367,760,269,210,151,380,206,261,230
Kleine Mantelmeeuw,328,380,688,1475,1015,748,698,451,200,149,314
Kneu,40,82,65,223,126,138,131,152,39,91,41
Knobbelzwaan,151,335,500,998,379,351,226,251,383,322,402
Kokmeeuw,6483,6969,9160,12117,12267,4572,4769,13124,3876,2919,5143
Kolgans,727,3781,4244,1445,933,375,92,517,1015,252,536
Koolmees,54167,55730,74199,98039,118460,101840,79726,160702,102875,112902,114661
Koperwiek,827,551,586,1898,4044,474,659,2452,1633,799,2525
Kramsvogel,1676,619,754,2081,9770,1039,652,10302,1600,1558,2950
Kuifeend,47,134,316,412,279,174,240,114,170,191,328
Kuifmees,547,563,1052,2265,844,684,279,911,292,442,631
Matkop,524,386,660,1076,597,529,265,714,333,434,503
Meerkoet,779,1410,2097,3988,1956,1295,1017,1079,1375,1227,1495
Merel,31015,31977,48359,71661,118926,71849,60705,142663,72582,87277,84941
Nijlgans,322,366,423,923,243,181,244,135,265,201,295
Pimpelmees,25359,30472,46807,57426,74874,66483,53598,99342,66836,74095,77272
Putter,569,1134,1993,2380,2110,1876,1669,3083,1747,2644,2190
Ransuil,3,58,327,214,122,149,163,182,61,123,163
Ringmus,10380,11311,18308,23963,18506,15109,12312,18890,12528,12284,10429
Roek,877,2722,1319,1847,940,690,975,1059,511,421,1060
Roodborst,10615,13559,16188,23318,38932,24280,21867,47964,27032,35938,35167
Sijs,816,647,5065,2055,1539,1782,475,1474,551,476,1515
Sperwer,260,484,838,1005,583,553,642,702,499,431,452
Spreeuw,18053,29199,41557,45301,71548,47487,27664,56083,30461,34882,32433
Staartmees,2383,3573,10456,20419,25623,20665,9524,20074,9578,9318,12809
Stadsduif,757,1547,1494,3772,6072,5178,5033,7684,7430,7642,7082
Steenuil,12,22,45,123,66,59,63,67,67,85,76
Stormmeeuw,438,1611,1507,2021,1280,516,632,1695,813,685,1244
Tjiftjaf,29,81,111,230,154,96,65,70,87,135,159
Torenvalk,105,148,237,310,233,175,175,171,118,140,218
Turkse Tortel,14008,20790,29216,39202,49634,40877,37443,58489,45185,49267,45468
Vink,21599,27364,41172,53251,92526,65545,42410,130705,55785,74052,69430
Waterhoen,551,985,1858,3489,2139,2655,1106,1869,1220,1607,1431
Wilde Eend,1397,3184,4405,8911,5616,3206,3064,3428,3184,3412,4012
Winterkoning,2852,3203,4961,7225,10831,5615,5364,9929,6098,8392,9847
Zanglijster,2239,1162,1242,2655,5136,2227,1646,5520,1859,3123,3185
Zilvermeeuw,1,3962,4739,8322,7530,3366,3039,7310,2750,1932,3703
Zwarte Kraai,1499,6229,5888,12101,20517,15348,15882,19782,18005,17368,19351
Zwarte Mees,4,372,1752,2479,573,890,264,1194,721,469,2127
Zwartkop,5,250,454,857,485,338,183,485,259,304,286
