jaar,Aalscholver,Appelvink,Blauwe Reiger,Boomklever,Boomkruiper,Buizerd,Ekster,Fazant,Fuut,Gaai,Glanskop,Goudhaantje,Goudvink,Grauwe Gans,Groene Specht,Groenling,Grote Bonte Specht,Grote Lijster,Grote Mantelmeeuw,Grote Zilverreiger,Halsbandparkiet,Havik,Heggemus,Houtduif,Huismus,IJsvogel,Kauw,Keep,Kleine Bonte Specht,Kleine Mantelmeeuw,Kneu,Knobbelzwaan,Kokmeeuw,Kolgans,Koolmees,Koperwiek,Kramsvogel,Kuifeend,Kuifmees,Matkop,Meerkoet,Merel,Nijlgans,Pimpelmees,Putter,Ransuil,Ringmus,Roek,Roodborst,Sijs,Sperwer,Spreeuw,Staartmees,Stadsduif,Steenuil,Stormmeeuw,Tjiftjaf,Torenvalk,Turkse Tortel,Vink,Waterhoen,Wilde Eend,Winterkoning,Zanglijster,Zilvermeeuw,Zwarte Kraai,Zwarte Mees,Zwartkop
2005,383,526,583,1854,437,270,10169,330,51,2868,627,327,824,1600,154,6527,1628,552,172,1,181,33,9616,9509,56346,103,16559,245,192,328,40,151,6483,727,54167,827,1676,47,547,524,779,31015,322,25359,569,3,10380,877,10615,816,260,18053,2383,757,12,438,29,105,14008,21599,551,1397,2852,2239,1,1499,4,5
2006,1218,670,718,1784,534,353,12276,606,193,3052,526,279,551,4127,180,8219,986,460,327,99,1214,45,11138,14482,79824,71,29906,450,243,380,82,335,6969,3781,55730,551,619,134,563,386,1410,31977,366,30472,1134,58,11311,2722,13559,647,484,29199,3573,1547,22,1611,81,148,20790,27364,985,3184,3203,1162,3962,6229,372,250
2008,1169,888,926,2149,962,723,18176,1198,284,4478,663,524,1128,4639,384,17021,1715,758,464,167,1921,84,15647,23857,96898,191,39313,1395,367,688,65,500,9160,4244,74199,586,754,316,1052,660,2097,48359,423,46807,1993,327,18308,1319,16188,5065,838,41557,10456,1494,45,1507,111,237,29216,41172,1858,4405,4961,1242,4739,5888,1752,454
2009,1064,1438,1748,4781,1953,1462,24824,1725,344,8563,1156,539,2231,4728,610,21931,4204,1494,1190,491,2486,102,22446,35514,113227,353,48161,2296,760,1475,223,998,12117,1445,98039,1898,2081,412,2265,1076,3988,71661,923,57426,2380,214,23963,1847,23318,2055,1005,45301,20419,3772,123,2021,230,310,39202,53251,3489,8911,7225,2655,8322,12101,2479,857
2010,628,434,1042,4446,3018,971,32767,2482,117,13774,776,340,1108,2798,474,29604,5021,283,653,233,3735,68,29983,44319,190587,118,54069,2388,269,1015,126,379,12267,933,118460,4044,9770,279,844,597,1956,118926,243,74874,2110,122,18506,940,38932,1539,583,71548,25623,6072,66,1280,154,233,49634,92526,2139,5616,10831,5136,7530,20517,573,485
2011,337,342,556,4607,2168,616,25730,1755,137,11062,805,214,693,2659,361,25165,4442,144,410,137,3456,34,21886,740,145368,46,46782,6608,210,748,138,351,4572,375,101840,474,1039,174,684,529,1295,71849,181,66483,1876,149,15109,690,24280,1782,553,47487,20665,5178,59,516,96,175,40877,65545,2655,3206,5615,2227,3366,15348,890,338
2012,311,169,584,2821,1524,603,27443,1535,136,7378,392,95,464,1597,311,18939,3470,86,268,125,4339,54,17273,28546,145799,94,51482,264,151,698,131,226,4769,92,79726,659,652,240,279,265,1017,60705,244,53598,1669,163,12312,975,21867,475,642,27664,9524,5033,63,632,65,175,37443,42410,1106,3064,5364,1646,3039,15882,264,183
2013,237,671,571,8004,2571,917,41998,2102,64,19935,937,288,1644,3404,390,34107,9769,251,647,135,4283,64,33237,1969,215080,69,67207,3812,380,451,152,251,13124,517,160702,2452,10302,114,911,714,1079,142663,135,99342,3083,182,18890,1059,47964,1474,702,56083,20074,7684,67,1695,70,171,58489,130705,1869,3428,9929,5520,7310,19782,1194,485
2014,290,206,490,3716,1969,507,30933,1021,185,9157,532,121,562,2557,356,17521,4736,64,231,119,5060,42,19873,874,161617,69,55437,467,206,200,39,383,3876,1015,102875,1633,1600,170,292,333,1375,72582,265,66836,1747,61,12528,511,27032,551,499,30461,9578,7430,67,813,87,118,45185,55785,1220,3184,6098,1859,2750,18005,721,259
2015,265,350,576,4532,2307,443,34436,1218,191,15272,755,362,995,2050,386,20754,5786,74,215,101,5266,43,26141,41212,177187,251,56047,532,261,149,91,322,2919,252,112902,799,1558,191,442,434,1227,87277,201,74095,2644,123,12284,421,35938,476,431,34882,9318,7642,85,685,135,140,49267,74052,1607,3412,8392,3123,1932,17368,469,304
2016,640,390,842,5042,2526,811,35125,988,233,10235,943,400,728,3031,398,18825,6908,61,357,186,5746,47,24772,33405,164087,339,58603,1757,230,314,41,402,5143,536,114661,2525,2950,328,631,503,1495,84941,295,77272,2190,163,10429,1060,35167,1515,452,32433,12809,7082,76,1244,159,218,45468,69430,1431,4012,9847,3185,3703,19351,2127,286
